Titre,Entreprise,Lien,Description,Autres,Date de publication
Cloud Microservices Architect (M/F),AFRICASHORE,https://www.emploi.ci/offre-emploi-cote-ivoire/cloud-microservices-architect-mf-1386365,"We are looking for  Cloud Microservices Architect profiles / CVs to share with our clients for their future recruitment campaigns.   Mission:   Design, build, and maintain Cloud environments focusing on uptime, access, control, and Network security using automation and configuration management tools. Guide the definition of best practices in collaboration with other areas of engineering group. Research and provide guidance on adoption of new technologies. Provide guidance to Product Managers on feasibility pf product requests. You will be creating, recreating, rewriting and refactor applications. You will be working on Cloud-based application development...
+plus","Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 5 ans et 10 ans; Contrat proposé : CDI, CDD - Freelance; Région de : Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...; Compétences clés : ACCESS - AGILE - AZURE - CVS - DOCKER",2024-08-30
Cloud System Administrator (M/F),AFRICASHORE,https://www.emploi.ci/offre-emploi-cote-ivoire/cloud-system-administrator-mf-1386366,"We are looking for  Cloud System Administrator profiles / CVs to share with our clients for their future recruitment campaigns.   Mission:   Installing, configuring and maintain softwares, servers (on premise / Cloud), Networks and firewalls . Overseeing/troubleshoot system performance, troubleshooting issues and outages Creating a backup and safeguarding the data(on premise / Cloud) if there are any hindrances Performing system upgrades following new releases. Ensuring/Sustaining Network integrity, server deployment, security and efficiency of IT infrastructure . Monitoring and maintaining Network servers such as file servers, VPN gateways and intrusion detection systems...
+plus","Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 5 ans et 10 ans; Contrat proposé : CDI, CDD - Freelance; Région de : Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...; Compétences clés : AZURE - CENTOS - CVS - DOCKER - LINUX - PERL - PREMISE - PYTHON - REDHAT - VPN - WAN",2024-08-30
Cloud System Integrator (M/F),AFRICASHORE,https://www.emploi.ci/offre-emploi-cote-ivoire/cloud-system-integrator-mf-1386367,"We are looking for Cloud System Integrator profiles / CVs to share with our clients for their future recruitment campaigns.   Mission: Create future-proof system architectures for our highly interconnected 4G/5G communication solutions. Define competitive end-to-end solutions together with top experts from different teams in an international environment. Demonstrate strong understanding of Networking and security architectures and engage in technical discussions with Network and security architects of large enterprises. Present both industry and Zscaler technical architecture as it relates to customers and prospects environment and technical requirements. Ensure that our solutions fit smoothly...
+plus","Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 5 ans et 10 ans; Contrat proposé : CDI, CDD - Freelance; Région de : Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...; Compétences clés : AGILE - CVS",2024-08-30
Cyber Security Engineer (M/F),AFRICASHORE,https://www.emploi.ci/offre-emploi-cote-ivoire/cyber-security-engineer-mf-1386368,"We are looking for Cyber Security Engineer profiles / CVs to share with our clients for their future recruitment campaigns.   Mission: Act as an internal subject matter expert with respect to CVA scanning and reporting. Assist in maintenance of the enterprise to VMLC (Vulnerability Management Life Cycle) policy and associated VM standard. Conduct required tasks for the vulnerability scanning program and publish reported vulnerabilities to impacted teams for remediation. Triage and risk rank vulnerabilities according to severity and exposure. Work with Product and IT teams to risk rank and patch vulnerabilities related to the technology stack. Develop remediation plans for vulnerabilities....
+plus","Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 5 ans et 10 ans; Contrat proposé : CDI, CDD - Freelance; Région de : Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...; Compétences clés : CVS - ENDPOINT - IDEAL - JAVASCRIPT - PYTHON - VM",2024-08-30
DATASTAGE Architect (M/F),AFRICASHORE,https://www.emploi.ci/offre-emploi-cote-ivoire/datastage-architect-mf-1386369,"We are looking for DATASTAGE Architect profiles / CVs to share with our clients for their future recruitment campaigns.   Mission: Define and supervise all activities within your scope by using and optimising the resources allocated. Control the implementation of the activities under your responsibility and report on the results. Responsible for the level of service quality, compliance with standards and the level of safety within the assigned perimeter. Supervise and monitor of assigned projects (monitoring of workloads, definition of deadlines and delivery milestones, identification of deliverables and work to be carried out, task planning, monitoring of work, management of corrective measures,...
+plus","Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 5 ans et 10 ans; Contrat proposé : CDI, CDD - Freelance; Région de : Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...; Compétences clés : AZURE - CVS - DATASTAGE - INFORMATICA - J2EE - JAVA - MONGODB - ORACLE - SQL - TALEND",2024-08-30
GENESYS Architect (M/F),AFRICASHORE,https://www.emploi.ci/offre-emploi-cote-ivoire/genesys-architect-mf-1386370,"We are looking for GENESYS Architect profiles / CVs to share with our clients for their future recruitment campaigns.   Mission: Deep and relevant expertise on Genesis Cloud services, along with contact center industry experience. Be the direct point of technical contact to provide high-quality consultancy for Genesys solutions to customers. Develop and maintain integration and Cloud solutions. Knowledge and experience on Cloud computing models (IaaS, PaaS, and SaaS). Experience with software development and one or more development or scripting languages (e.g. Java. Golang, Python, JavaScript, TypeScript, Bash, PowerShell). Self-starter with deep hands-on work experience with production...
+plus","Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 5 ans et 10 ans; Contrat proposé : CDI, CDD - Freelance; Région de : Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...; Compétences clés : BASH - CVS - GENESYS - JAVA - JAVASCRIPT - PAAS - POWERSHELL - PYTHON - VMWARE",2024-08-30
Network Architect (M/F),AFRICASHORE,https://www.emploi.ci/offre-emploi-cote-ivoire/network-architect-mf-1386371,"We are looking for Network Architect profiles / CVs to share with our clients for their future recruitment campaigns.   Mission: Deliver Core Backbone Network Designs in alignment with industry best practices. Deliver Customer Network Designs in alignment with industry best practices. Support and Alignment with Internal Teams. Contributor to Automation Stakeholders to deliver speed and accuracy for the enablement of new services. Perform Core Network Changes. Manage technical Network solutions and framework of [24]7 Network infrastructure. Perform Network troubleshooting to isolate and diagnose common Network problems. Upgrade Network hardware and software components as required...
+plus","Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 5 ans et 10 ans; Contrat proposé : CDI, CDD - Freelance; Région de : Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...; Compétences clés : BGP - CISCO - CVS - DHCP - DNS - ETHERNET - JUNIPER - MPLS - PYTHON - SNMP - TCP IP - WAN",2024-08-30
DBA IMS/DB2 Z/OS(H/F),AFRICASHORE,https://www.emploi.ci/offre-emploi-cote-ivoire/dba-imsdb2-zoshf-1386372,"Nous recherchons des profils / CV de DBA IMS/DB2 Z/OS (H/F) pour les transmettre à nos clients dans le cadre de leurs futures campagnes de recrutement.   Mission :   Assistance au développement technique Z/OS. Maintenance des projets, support aux analystes Z. Mise en œuvre opérationnelle des projets de développement. Assurer le maintien en conditions opérationnelles. Réaliser la maintenance (mise à jour de versions, patchs management). Construction de nouveaux socles techniques. Traitement et incidents de niveau 3. Suivi et analyse des performances.
+plus","Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 5 ans et 10 ans; Contrat proposé : CDI, CDD - Freelance; Région de : Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...; Compétences clés : ASSEMBLEUR - COBOL - DB2 - FORTRAN - ISPF - JCL - SAS - SDSF - TCP IP - TSO - TWS - VSAM",2024-08-30
Z/OS System Engineer Senior Storage(H/F),AFRICASHORE,https://www.emploi.ci/offre-emploi-cote-ivoire/zos-system-engineer-senior-storagehf-1386373,"Nous recherchons des profils / CV de Z/OS System Engineer Senior Storage (H/F) pour les transmettre à nos clients dans le cadre de leurs futures campagnes de recrutement. Mission :   Mise en œuvre, suivi et gestion technique opérationnelle des opérations, Enrichissement et rechargement des environnements Mainframe z/OS d’homologation et de répétition de bascules. Définition des partitions (création du socle, SGBD, middlewares transactionnels et flux, service techniques, sécurité), clonage et alimentation de données, interopération avec les environnements mainframe et distribués (non mainframe)....
+plus","Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 5 ans et 10 ans; Contrat proposé : CDI, CDD - Freelance; Région de : Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...; Compétences clés : CICS - DB2 - IBM - JCL - MVS - TSO - VSAM - ZOS",2024-08-30
Ingénieur Système Z/OS Middleware (H/F),AFRICASHORE,https://www.emploi.ci/offre-emploi-cote-ivoire/ingenieur-systeme-zos-middleware-hf-1386374,"Nous recherchons des profils / CV de Ingénieur Système Z/OS Middleware (H/F ) pour les transmettre à nos clients dans le cadre de leurs futures campagnes de recrutement.   Mission :   Ingénieur système Z/OS expérimenté, être capable d'installer, de paramétrer, d'activer et d'exécuter tant l'investigation et la résolution des problèmes des produits habituellement utilisés dans un environnement z/OS. Equipe en charge de la gestion d'un environnement mainframe (HW / SW) incluant la sécurité associée (RACF), le stockage (DASD, Tape, B&R, DRP), la conformité, la mé...
+plus","Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 5 ans et 10 ans; Contrat proposé : CDI, CDD - Freelance; Région de : Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...; Compétences clés : ASSEMBLEUR - COBOL - JAVA - LDAP - NETVIEW - TCP IP - TWS - VTAM",2024-08-30
Consultant SAP ABAP (H/F),AFRICASHORE,https://www.emploi.ci/offre-emploi-cote-ivoire/consultant-sap-abap-hf-1417099,"Nous recherchons un Consultant SAP ABAP (H/F) pour notre client, une société multinationale dans le domaine des services informatiques.   Mission :   Assurer la liaison avec les équipes de livraison pour aider à développer l'activité autour des caractéristiques techniques à venir, conformément à la stratégie et aux objectifs de l'organisation. Participation aux phases de conception et réalisation des développements. Mentorat des membres juniors de l'équipe ABAP ou de l'équipe technique au sein de l'organisation. Vous êtes en charge de la construction d'actifs et d'accélé...
+plus",Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 2 ans et 5 ans; Contrat proposé : CDI - Freelance; Région de : Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...; Compétences clés : ABAP - SAP,2024-08-30
Consultant SAP FI-CO/PS (H/F),AFRICASHORE,https://www.emploi.ci/offre-emploi-cote-ivoire/consultant-sap-fi-cops-hf-1417100,"Nous recherchons un Consultant SAP FI-CO/PS (H/F) pour notre client, une société multinationale dans le domaine des services informatiques.   Mission :   Concevoir, mettre en œuvre, déployer et soutenir les solutions financières SAP pour la finance, la comptabilité, le contrôle des coûts et le contrôle de gestion. Maintenir les compétences dans la conception et la configuration des processus des applications SAP ; la conception, le développement, l'intégration, les tests et le déploiement des applications SAP ; et l'architecture technique des applications SAP. Comprendre les exigences de l'entreprise afin de...
+plus",Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 2 ans et 5 ans; Contrat proposé : CDI - Freelance; Région de : Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...; Compétences clés : SAP,2024-08-30
Consultant SAP EHS (H/F),AFRICASHORE,https://www.emploi.ci/offre-emploi-cote-ivoire/consultant-sap-ehs-hf-1417101,"Nous recherchons un Consultant SAP EHS (H/F) pour notre client, une société multinationale dans le domaine des services informatiques.   Mission :   Définir le champ d'application et les priorités opérationnelles pour les changements à petite échelle et peut participer à des exercices de définition du champ d'application à plus grande échelle. Spécifier et documenter les exigences opérationnelles selon les instructions, en assurant la traçabilité jusqu'à la source. Les analysées pour s'assurer qu'elles correspondent aux objectifs de l'entreprise et qu'elles sont cohérentes...
+plus",Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 2 ans et 5 ans; Contrat proposé : CDI - Freelance; Région de : Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...; Compétences clés : REACH - SAP,2024-08-30
Consultant SAP Senior (H/F),AFRICASHORE,https://www.emploi.ci/offre-emploi-cote-ivoire/consultant-sap-senior-hf-1417102,"Nous recherchons un Consultant SAP Sénior (H/F) pour notre client, une société multinationale dans le domaine des services informatiques.   Mission :   Participer aux études préalables et à l'élaboration des cahiers des charges. Mener de bout en bout les enrichissements/projets validés au carnet de travail Logistique SAP Achats, Stocks voire Production Planning (conception, paramétrage, réalisation, tests, conduite du changement, formation, support post go-live…) avec un fort engagement de résultat et une forte interaction avec les correspondants métiers. Participer au développement et au...
+plus",Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 2 ans et 5 ans; Contrat proposé : CDI - Freelance; Région de : Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...; Compétences clés : ABAP - SAP,2024-08-30
Consultant SAP MM/SD/EWM/PP/QM/CAR (H/F),AFRICASHORE,https://www.emploi.ci/offre-emploi-cote-ivoire/consultant-sap-mmsdewmppqmcar-hf-1417103,"Nous recherchons un Consultant SAP MM/SD/EWM/PP/QM/CAR (H/F) pour notre client, une société multinationale dans le domaine des services informatiques.   Mission :   Accompagner et soutenir nos utilisateurs sur leurs activités et problématiques quotidiennes en étant force de proposition pour l’amélioration continue de la solution. Mener de bout en bout les enrichissements/projets validés au carnet de travail Logistique SAP Achats, Stocks voire Production Planning (conception, paramétrage, réalisation, tests, conduite du changement, formation, support post go-live…) avec un fort engagement de résultat et une forte...
+plus",Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 2 ans et 5 ans; Contrat proposé : CDI - Freelance; Région de : Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...; Compétences clés : SAP,2024-08-30
Lead Développeur Java JEE (H/F),AFRICASHORE,https://www.emploi.ci/offre-emploi-cote-ivoire/lead-developpeur-java-jee-hf-1417104,"Nous recherchons un Lead Développeur Java JEE (H/F) pour notre client, une société multinationale dans le domaine des services informatiques.   Poste & Mission :   Intégré-e dans la Direction R&D au sein du service d’Architecture Technique des équipes de Développement, en charge de domaines techniques précis, votre périmètre comprend.   Conception et développements techniques sur des technologies java/JEE ; Evolution et maintenance du Framework du progiciel ; Instruction et débogage des problèmes techniques avancés ; Participation au chiffrage et à la conception...
+plus",Niveau d´études requis : Bac+3; Niveau d'expérience : Expérience entre 5 ans et 10 ans; Contrat proposé : CDI - Freelance; Région de : Abengourou - Abidjan - Aboisso - Adzopé - Agboville - Bondoukou -...; Compétences clés : AGILE - CSS - ECLIPSE - HIBERNATE - HTML - JAVA - JAVA JEE - JAVASCRIPT - JENKINS - JUNIT - MAVEN - SPRING - UML,2024-08-30
